neck_angle,shoulder_tilt,spine_angle,forward_head_ratio,hip_shoulder_alignment,ear_shoulder_distance,shoulder_symmetry,torso_lean,label,posture_class
167.5676,27.6111,167.0461,0.0672,160.8597,0.1128,0.8072,23.3656,3,Lateral Tilt
175.0676,0.9385,176.3315,0.0655,175.2192,0.1188,0.9476,0.4634,0,Good Posture
144.5751,3.3471,146.3441,0.1878,159.0067,0.1649,0.9297,11.8121,1,Slouching
171.0863,0.0849,171.7568,0.0711,177.8813,0.1336,0.9803,2.0446,0,Good Posture
132.8487,0.0,148.107,0.1462,150.8817,0.2097,0.8976,20.6389,1,Slouching
138.6998,4.4543,168.2636,0.3833,170.9289,0.3861,0.9453,2.9505,2,Forward Head
165.48,19.0104,164.979,0.1312,163.0463,0.1381,0.6856,19.8604,3,Lateral Tilt
135.0067,2.2133,161.6512,0.2896,174.4941,0.4103,0.9041,4.1469,2,Forward Head
121.7261,4.9919,165.207,0.3062,170.4769,0.2565,0.935,6.1982,2,Forward Head
158.372,1.4378,171.8844,0.0174,174.2877,0.1222,0.9933,2.4698,0,Good Posture
171.625,13.1383,155.2871,0.1508,179.345,0.1457,0.7038,22.8161,3,Lateral Tilt
163.2529,22.5153,166.0874,0.1072,166.4278,0.1798,0.77,13.1441,3,Lateral Tilt
171.9283,2.5531,176.1814,0.0114,177.1633,0.1369,0.9795,0.0,0,Good Posture
136.4385,10.1571,137.8293,0.1588,161.3349,0.1772,0.9341,8.8541,1,Slouching
146.5691,2.2878,132.6083,0.1603,163.831,0.219,0.8999,12.0536,1,Slouching
146.82,6.9079,138.4234,0.1012,150.4444,0.195,0.8574,14.9508,1,Slouching
167.113,2.2652,173.36,0.0446,183.0204,0.1468,0.967,3.2446,0,Good Posture
174.6711,2.3816,176.0128,0.0418,176.5372,0.1113,0.9839,1.3685,0,Good Posture
175.0889,18.2195,167.8863,0.0365,163.8752,0.104,0.8564,5.2373,3,Lateral Tilt
125.5649,0.0,167.6465,0.4105,175.2197,0.4295,0.9665,7.055,2,Forward Head
156.1181,0.9644,136.9725,0.1367,166.3313,0.2309,0.8937,16.5415,1,Slouching
163.9392,4.0503,179.9349,0.045,179.7297,0.1262,1.0,3.6794,0,Good Posture
145.6761,2.8592,130.4339,0.1218,143.8643,0.2682,0.8954,13.2704,1,Slouching
137.5915,2.9496,170.5107,0.3832,173.055,0.2921,0.954,3.9114,2,Forward Head
146.4798,6.3583,158.6586,0.1192,144.7732,0.1642,0.8465,21.6833,1,Slouching
141.9404,0.0,140.4375,0.1028,155.2712,0.1524,0.937,14.5446,1,Slouching
160.8916,26.1176,162.3615,0.0462,165.7463,0.0799,0.7409,13.1594,3,Lateral Tilt
159.8532,3.5547,147.5957,0.0778,135.8644,0.2338,0.8998,20.8926,1,Slouching
163.3969,14.9624,161.4202,0.0826,166.8027,0.1318,0.861,25.6901,3,Lateral Tilt
123.3433,4.3919,165.9335,0.2488,173.1202,0.1863,0.8875,4.645,2,Forward Head
166.3771,1.0194,173.213,0.0775,171.593,0.1828,0.9906,2.3349,0,Good Posture
116.0704,3.6648,166.4943,0.3158,174.3355,0.3842,0.8948,3.8866,2,Forward Head
175.6766,16.3173,163.4589,0.0696,164.7755,0.1181,0.7486,11.171,3,Lateral Tilt
128.1386,4.1137,175.4562,0.1929,169.2016,0.3095,0.9836,1.7272,2,Forward Head
161.852,11.8371,167.1441,0.0363,171.0187,0.1588,0.6803,25.7491,3,Lateral Tilt
154.1011,17.7158,156.6025,0.0438,167.0642,0.1783,0.8023,18.0912,3,Lateral Tilt
156.4943,19.8703,166.3224,0.0819,166.9159,0.1312,0.8101,17.8559,3,Lateral Tilt
131.455,3.2652,161.5871,0.2093,173.1837,0.3268,0.9272,1.6857,2,Forward Head
162.6689,12.7927,170.0168,0.0965,172.1271,0.0882,0.7704,16.5994,3,Lateral Tilt
161.7456,0.4643,154.275,0.1889,148.7673,0.2081,0.8817,15.9284,1,Slouching
168.5161,19.6218,159.399,0.058,163.7045,0.1183,0.7606,16.6673,3,Lateral Tilt
160.2278,20.5346,164.799,0.0649,173.5323,0.1025,0.7547,23.1386,3,Lateral Tilt
170.1312,0.8623,174.3088,0.0315,180.6706,0.1407,0.9615,0.6057,0,Good Posture
148.8447,2.381,143.3441,0.1088,161.5788,0.1665,0.9221,13.2795,1,Slouching
168.1368,1.7737,174.7782,0.041,178.5851,0.1048,0.9687,2.9341,0,Good Posture
130.2648,7.6762,140.2809,0.1779,155.2017,0.1383,0.9066,25.9811,1,Slouching
129.5279,5.3872,166.6308,0.3451,172.83,0.3423,0.9527,1.7906,2,Forward Head
134.1314,1.7608,128.8256,0.1459,150.2125,0.1613,0.8973,16.8199,1,Slouching
166.7281,17.6896,170.211,0.087,168.6074,0.1494,0.7744,18.0461,3,Lateral Tilt
150.3176,3.3412,153.0146,0.1301,148.744,0.1696,0.8292,17.3577,1,Slouching
152.9503,9.1217,138.1809,0.169,160.0596,0.181,0.8691,23.0476,1,Slouching
172.8895,1.4408,180.0,0.042,178.6741,0.1387,0.9658,0.0,0,Good Posture
153.0822,4.8669,156.0277,0.1231,154.5618,0.1631,0.9003,7.6073,1,Slouching
164.7191,4.7472,178.5383,0.0406,172.8606,0.1471,0.9789,3.8567,0,Good Posture
128.4388,3.5641,167.3886,0.3217,179.0519,0.2946,0.8885,6.6518,2,Forward Head
130.5771,2.2614,161.6823,0.2591,173.5648,0.3491,0.9395,7.3137,2,Forward Head
169.0113,0.977,171.9951,0.0444,183.3931,0.1328,0.9743,2.8589,0,Good Posture
129.9157,0.7585,167.7704,0.2975,172.6426,0.3531,0.9088,8.3751,2,Forward Head
171.9995,0.0,176.1029,0.008,179.8765,0.1377,0.9741,2.1853,0,Good Posture
132.5831,3.2486,171.7442,0.3388,172.1219,0.2751,0.9204,3.9004,2,Forward Head
129.4184,4.2978,165.6624,0.4226,179.9345,0.3206,0.9516,7.7186,2,Forward Head
166.8561,0.0,175.9115,0.0644,177.3074,0.1491,0.9666,3.0394,0,Good Posture
176.3125,3.4782,177.6075,0.0409,175.3323,0.1391,0.9888,4.209,0,Good Posture
168.4599,2.5745,175.4238,0.0074,180.3046,0.1243,0.9851,7.8894,0,Good Posture
156.4184,3.7417,151.0519,0.0734,160.2756,0.1678,0.9123,13.7612,1,Slouching
142.1383,3.7684,168.431,0.2875,173.1686,0.334,0.9488,5.2297,2,Forward Head
163.9208,23.6893,163.2317,0.0868,174.4865,0.1376,0.7929,17.5181,3,Lateral Tilt
145.1,13.6052,131.6512,0.1923,153.6176,0.2309,0.9177,11.3342,1,Slouching
122.9696,3.2536,166.5346,0.3088,172.0894,0.2707,0.9588,4.9025,2,Forward Head
157.8441,8.3839,163.7741,0.0344,168.2311,0.1625,0.8696,19.007,3,Lateral Tilt
152.0492,5.004,148.1634,0.1117,150.2853,0.1817,0.9343,23.3869,1,Slouching
123.0656,2.3136,171.0359,0.3224,178.1295,0.341,0.9954,6.08,2,Forward Head
174.4965,3.4213,172.6814,0.0581,175.085,0.0924,0.9737,3.2936,0,Good Posture
164.4827,0.9036,174.9006,0.0859,176.4472,0.1245,0.9798,3.7826,0,Good Posture
176.5599,3.1132,175.2263,0.018,177.2618,0.1031,1.0,1.7362,0,Good Posture
177.4932,3.6201,173.658,0.0756,178.2036,0.1371,0.9848,0.7305,0,Good Posture
136.1051,3.6481,171.2964,0.2918,176.8077,0.3204,0.9417,4.4688,2,Forward Head
169.6691,20.5162,176.5282,0.0495,172.1129,0.1007,0.7894,22.8825,3,Lateral Tilt
177.2174,1.7136,177.1593,0.0241,175.1307,0.1294,0.9948,2.5334,0,Good Posture
140.426,5.9978,152.465,0.1411,163.5214,0.2581,0.8633,10.8154,1,Slouching
157.8182,20.7506,160.9985,0.0795,167.8229,0.1242,0.7186,16.5716,3,Lateral Tilt
170.7353,6.0396,176.0494,0.0299,177.7136,0.0845,0.9792,0.7504,0,Good Posture
165.5542,2.3698,176.4947,0.0728,182.7416,0.0997,0.9719,0.1136,0,Good Posture
167.0417,4.0832,150.8477,0.124,138.2776,0.1932,0.8894,13.0006,1,Slouching
170.4812,2.7717,177.1348,0.0275,173.3977,0.1456,0.9833,0.8773,0,Good Posture
162.8851,4.2441,176.9631,0.0489,178.8399,0.0975,1.0,2.1938,0,Good Posture
149.3273,7.6285,139.6532,0.1476,146.5325,0.1001,0.908,18.0445,1,Slouching
164.325,14.4118,159.4812,0.0878,171.8694,0.1652,0.8145,15.5132,3,Lateral Tilt
160.0467,16.5664,174.7596,0.0823,173.9145,0.1552,0.8468,4.0002,3,Lateral Tilt
127.0332,1.4688,170.9364,0.2231,174.2591,0.3542,0.9136,3.3593,2,Forward Head
151.6169,5.4739,134.8246,0.1585,163.5013,0.185,0.954,21.4637,1,Slouching
173.6763,1.5646,175.8022,0.0564,175.9957,0.1398,0.9783,0.8664,0,Good Posture
169.9856,0.2625,179.5102,0.0675,177.3371,0.1205,0.9821,0.0,0,Good Posture
161.4076,21.9173,168.5413,0.1033,177.4464,0.1403,0.8056,13.0981,3,Lateral Tilt
140.9857,0.8826,147.5838,0.1476,159.0019,0.1787,0.9488,10.6161,1,Slouching
125.5464,1.8699,175.4843,0.2575,181.7649,0.3419,0.9428,5.9525,2,Forward Head
160.5508,13.1961,166.2706,0.1009,169.9594,0.109,0.819,20.1296,3,Lateral Tilt
172.637,3.4064,170.1773,0.0347,175.6926,0.1012,0.9883,1.7093,0,Good Posture
169.0639,2.6995,177.962,0.0485,177.0405,0.123,0.9716,5.1343,0,Good Posture
169.4639,2.022,172.6453,0.063,177.6372,0.1284,0.9711,1.3438,0,Good Posture
166.5583,1.4232,178.0189,0.0385,180.5071,0.0974,0.9853,4.1624,0,Good Posture
142.0251,2.8146,147.5562,0.2161,156.1191,0.2398,0.8444,15.7888,1,Slouching
169.7434,2.4931,175.9641,0.0584,182.8411,0.1291,0.9776,3.4461,0,Good Posture
165.1643,16.0861,164.4176,0.0947,170.2025,0.1377,0.8456,22.8523,3,Lateral Tilt
123.6322,4.519,165.5329,0.2326,169.5773,0.3184,0.9046,2.6966,2,Forward Head
134.0128,6.5597,159.9505,0.1668,157.2127,0.2003,0.8372,21.7779,1,Slouching
147.2481,0.0,153.1011,0.1437,180.9447,0.2923,0.8927,14.4683,1,Slouching
141.529,10.1665,138.8635,0.1258,151.4163,0.1514,0.8117,13.8471,1,Slouching
127.8101,5.0618,166.8477,0.3216,171.5457,0.3172,0.9287,7.6897,2,Forward Head
166.8649,0.9642,172.2514,0.0334,177.7985,0.1057,0.9868,4.2309,0,Good Posture
144.0842,5.4433,138.9054,0.1584,167.2427,0.1689,0.9469,22.4905,1,Slouching
169.3017,4.1634,178.5741,0.1251,166.695,0.1403,0.7982,15.0542,3,Lateral Tilt
158.5516,24.2687,161.1758,0.0261,169.1894,0.1324,0.7134,9.5931,3,Lateral Tilt
157.7414,5.058,135.4883,0.148,146.631,0.2189,0.9116,19.7892,1,Slouching
165.5071,14.2315,169.2139,0.0638,167.512,0.0895,0.6832,18.0384,3,Lateral Tilt
168.5609,0.0109,173.7596,0.0552,175.1087,0.1009,0.9834,1.927,0,Good Posture
156.6617,22.9528,160.6094,0.0505,167.4309,0.153,0.7898,14.2867,3,Lateral Tilt
125.3287,0.0,168.8218,0.2612,168.7987,0.2951,0.9923,9.8097,2,Forward Head
118.7282,4.5064,163.6719,0.2831,177.8658,0.2495,0.894,5.5386,2,Forward Head
147.8668,1.4103,133.0519,0.065,160.768,0.1782,1.0,10.0282,1,Slouching
126.2097,2.796,170.6841,0.3534,175.7559,0.3168,0.9024,3.0021,2,Forward Head
162.4696,12.3348,163.8766,0.1123,167.9787,0.1658,0.8673,15.0599,3,Lateral Tilt
134.4326,2.2247,160.2601,0.2925,162.5301,0.3377,0.9106,5.3267,2,Forward Head
160.8067,14.5955,168.41,0.1113,170.7584,0.1969,0.8781,20.2052,3,Lateral Tilt
135.4438,5.8574,138.2388,0.1721,154.7286,0.1362,0.9168,12.1104,1,Slouching
125.589,4.1481,167.5605,0.2908,168.9112,0.4033,0.9287,6.3989,2,Forward Head
167.7778,2.3066,171.3936,0.0421,178.9524,0.1133,0.9791,1.206,0,Good Posture
128.3648,3.404,166.0201,0.2492,165.021,0.2672,0.9303,5.4238,2,Forward Head
172.5522,2.7513,169.5968,0.0391,175.6366,0.1076,0.9783,1.2919,0,Good Posture
163.3243,17.3233,158.8525,0.0676,177.0578,0.1574,0.6305,24.0836,3,Lateral Tilt
134.2034,3.7544,145.2722,0.1545,153.5673,0.2158,0.9277,18.6732,1,Slouching
178.2262,0.3037,176.4209,0.0315,179.6665,0.1016,0.9758,1.5574,0,Good Posture
136.9662,4.8747,171.3206,0.3186,172.8808,0.3716,0.9977,3.0939,2,Forward Head
170.0625,3.3534,172.2767,0.0804,179.5324,0.1406,0.9734,3.2818,0,Good Posture
136.7375,5.3312,167.7647,0.289,172.7645,0.2625,0.9342,6.4892,2,Forward Head
146.8135,3.3153,140.5753,0.1778,164.3875,0.1891,0.8864,17.5007,1,Slouching
153.0573,6.554,145.2096,0.1379,154.3527,0.0732,0.9084,12.5576,1,Slouching
163.8756,2.7714,176.7162,0.0488,181.3731,0.1133,0.9856,0.4705,0,Good Posture
134.0869,2.1295,162.3642,0.3138,166.0316,0.3848,0.9351,7.3904,2,Forward Head
169.9388,2.8689,175.3587,0.0305,181.5897,0.1168,0.9797,0.6001,0,Good Posture
142.2102,4.3272,168.8192,0.3205,177.6594,0.2763,0.9366,4.0946,2,Forward Head
168.187,4.1787,175.9802,0.056,179.8666,0.0972,0.9904,1.8864,0,Good Posture
143.2723,7.8124,158.0805,0.2025,146.2629,0.1899,0.8862,17.4463,1,Slouching
173.4306,1.7601,174.943,0.0299,177.9445,0.1142,0.9832,0.7592,0,Good Posture
137.0388,4.4555,127.5835,0.1571,166.4309,0.141,0.8766,16.6455,1,Slouching
170.3546,2.296,173.147,0.0437,179.8473,0.1441,0.9786,1.3247,0,Good Posture
143.0074,0.0,148.2337,0.1786,156.8163,0.187,0.9237,18.4011,1,Slouching
119.6037,0.0,173.0434,0.3308,172.3519,0.298,0.9241,2.8485,2,Forward Head
169.7904,4.5562,178.7407,0.0488,180.8543,0.1127,0.963,0.6133,0,Good Posture
166.8792,3.9959,171.4096,0.0679,180.6789,0.1566,0.9759,3.0685,0,Good Posture
135.6819,3.6638,179.7416,0.2486,165.1576,0.3003,0.893,2.0151,2,Forward Head
162.4285,5.583,143.8213,0.1886,156.9956,0.216,0.9997,13.6244,1,Slouching
140.1131,6.5134,132.4957,0.1028,166.4807,0.1861,0.9581,14.6088,1,Slouching
143.8186,3.7545,167.2511,0.3516,177.8154,0.296,0.9184,5.2777,2,Forward Head
174.2945,0.4602,175.3989,0.036,181.5851,0.0895,0.9744,2.5658,0,Good Posture
126.8716,3.9477,143.1782,0.1786,143.8074,0.1392,0.918,20.0337,1,Slouching
117.7119,1.6097,169.8926,0.2649,171.0488,0.3433,0.9556,2.8409,2,Forward Head
140.1259,2.0803,166.2815,0.2349,170.2841,0.3682,0.979,6.9206,2,Forward Head
165.8124,2.805,178.5571,0.0644,180.9881,0.1049,0.9658,4.252,0,Good Posture
168.6594,2.5135,179.6625,0.0671,179.2446,0.1293,0.9804,2.8372,0,Good Posture
170.4874,12.1403,155.9047,0.1361,161.0309,0.1455,0.7841,3.9469,3,Lateral Tilt
153.8066,8.1841,149.256,0.1645,169.0895,0.2,0.8527,17.2474,1,Slouching
164.9093,19.4664,167.4237,0.0709,180.6518,0.1332,0.7662,14.0151,3,Lateral Tilt
176.3727,1.2332,172.0312,0.0475,178.1672,0.1419,0.9631,4.2943,0,Good Posture
136.9679,4.1511,166.8198,0.2769,173.2513,0.3487,0.9819,7.3823,2,Forward Head
172.8786,18.094,171.6146,0.0634,158.6688,0.1172,0.8838,10.5446,3,Lateral Tilt
125.5421,4.482,166.8474,0.3075,172.6305,0.3297,0.9393,6.0212,2,Forward Head
157.4654,18.7311,161.9764,0.0989,163.5734,0.1168,0.6587,18.8497,3,Lateral Tilt
158.3099,5.9157,149.6991,0.2066,158.5792,0.18,0.8821,16.1928,1,Slouching
143.1496,3.2707,156.7683,0.122,146.7035,0.2266,0.8682,10.2497,1,Slouching
171.7153,3.0397,175.5293,0.0427,175.5172,0.1217,0.9693,0.0,0,Good Posture
173.1641,0.6359,179.2084,0.022,179.7606,0.1638,0.9701,1.1506,0,Good Posture
156.5906,4.0548,143.0686,0.2087,159.0445,0.2174,0.8524,18.3936,1,Slouching
128.7152,2.7701,162.0711,0.3576,171.5916,0.3219,0.952,3.4238,2,Forward Head
178.0972,0.0,175.5691,0.0368,179.2777,0.1204,0.9736,2.7318,0,Good Posture
169.5889,24.0508,161.7754,0.1038,164.2227,0.207,0.7384,23.1304,3,Lateral Tilt
153.6417,4.353,166.3626,0.2472,164.4788,0.2687,0.9434,7.8547,2,Forward Head
145.2354,6.5499,137.1494,0.0938,155.8577,0.1872,0.9251,14.6005,1,Slouching
132.1681,3.9515,170.3586,0.1674,177.4656,0.2831,0.9606,6.4821,2,Forward Head
164.0678,15.6032,166.9432,0.0719,162.5568,0.224,0.7508,6.912,3,Lateral Tilt
165.576,0.0,149.8699,0.1277,150.3087,0.1752,0.8636,23.4226,1,Slouching
159.6467,14.0784,168.4425,0.073,175.9457,0.155,0.7508,17.949,3,Lateral Tilt
141.7022,7.7404,149.301,0.1671,152.7601,0.1488,0.9206,10.8286,1,Slouching
136.5518,4.2292,147.4627,0.2327,143.8176,0.2481,0.9072,19.1892,1,Slouching
171.7462,3.3559,167.9112,0.0298,179.8575,0.1611,0.9802,0.908,0,Good Posture
151.966,7.8464,146.0455,0.1443,151.1936,0.167,0.8725,8.2472,1,Slouching
163.3411,10.357,166.5527,0.0465,164.0343,0.1043,0.7524,17.8602,3,Lateral Tilt
116.5786,0.0577,169.3451,0.2631,176.2269,0.3683,0.9616,8.6395,2,Forward Head
154.6393,16.9753,162.184,0.0589,169.9261,0.1736,0.772,19.0274,3,Lateral Tilt
165.248,20.0394,156.2111,0.0971,160.7135,0.2012,0.7557,17.0756,3,Lateral Tilt
173.6616,1.1757,174.6497,0.0373,183.2166,0.1136,0.9983,3.2212,0,Good Posture
130.3311,4.3893,166.2539,0.3536,173.1809,0.286,0.9396,4.5209,2,Forward Head
171.702,3.7959,170.885,0.0358,177.1344,0.1043,0.9973,0.7148,0,Good Posture
132.7818,1.5051,166.878,0.2299,171.5674,0.3756,0.9606,7.804,2,Forward Head
126.7879,0.9648,171.4407,0.3405,167.3782,0.3563,0.9858,8.8051,2,Forward Head
127.2742,5.7116,167.8602,0.2546,174.2348,0.2998,0.9033,3.2145,2,Forward Head
139.8795,4.5707,166.6935,0.3993,165.7879,0.2498,0.9375,9.5081,2,Forward Head
127.726,4.7193,164.0719,0.2657,173.5399,0.3599,0.9736,8.1393,2,Forward Head
121.5457,4.6182,164.6011,0.2759,174.1227,0.2868,0.9411,4.3706,2,Forward Head
122.1311,3.2051,161.2509,0.3416,175.4862,0.3364,0.9064,7.7603,2,Forward Head
162.0828,3.1219,171.7818,0.0548,184.2222,0.1016,0.9547,1.571,0,Good Posture
153.7102,3.8711,145.1506,0.1031,168.5658,0.2759,0.9063,20.1177,1,Slouching
167.9445,0.4112,174.812,0.0691,175.0428,0.1301,0.9747,0.8107,0,Good Posture
170.7275,2.3723,173.6219,0.033,180.491,0.1029,0.9807,1.2835,0,Good Posture
124.1489,0.8083,179.0735,0.2874,164.2977,0.3947,0.9583,3.4671,2,Forward Head
130.3714,4.7306,166.0925,0.3839,166.158,0.3796,0.9603,1.5679,2,Forward Head
115.6876,1.842,172.2244,0.3394,175.6563,0.2706,0.9885,3.0702,2,Forward Head
147.3797,5.4185,142.7213,0.1458,179.7864,0.1897,0.9204,11.7532,1,Slouching
163.5971,14.9199,163.2695,0.1055,158.4357,0.1933,0.809,17.7883,3,Lateral Tilt
168.1158,2.3481,170.6557,0.0219,175.8447,0.1157,0.9831,4.213,0,Good Posture
173.7531,1.2259,175.2884,0.0408,176.6965,0.1138,0.9822,1.2819,0,Good Posture
168.3927,8.6257,167.6101,0.0637,167.036,0.0998,0.7289,22.8306,3,Lateral Tilt
135.4736,2.8692,167.946,0.2447,170.8012,0.2818,0.9515,3.0178,2,Forward Head
175.023,0.6581,174.4394,0.0412,182.3409,0.1239,0.9903,0.0,0,Good Posture
153.9749,4.44,150.8325,0.164,157.7333,0.1891,0.8513,9.3923,1,Slouching
166.6706,2.7071,173.3433,0.0627,178.6088,0.0897,0.9955,4.6938,0,Good Posture
141.3193,1.4592,172.5734,0.3092,173.0088,0.2215,0.8739,4.5589,2,Forward Head
174.2433,11.4618,166.3683,0.127,170.9954,0.1453,0.7219,11.0912,3,Lateral Tilt
139.9708,4.1675,136.7095,0.1419,154.7073,0.2264,0.9436,11.2595,1,Slouching
160.7113,16.076,167.7787,0.1416,171.027,0.1542,0.8118,12.634,3,Lateral Tilt
144.3587,1.6124,167.6027,0.2864,164.1816,0.3045,0.9664,6.0812,2,Forward Head
142.4776,2.1769,146.9687,0.1179,166.8557,0.1887,0.8774,12.6434,1,Slouching
137.5669,1.5979,142.2258,0.1266,153.2272,0.1424,0.9384,20.6384,1,Slouching
158.5764,16.3449,167.2735,0.078,169.2944,0.108,0.8157,14.9339,3,Lateral Tilt
176.9102,2.6545,175.114,0.0524,179.8406,0.0995,0.9774,0.0,0,Good Posture
148.9314,6.7093,146.5639,0.146,158.4878,0.0987,0.9273,15.6309,1,Slouching
156.0244,24.9279,171.7969,0.039,175.5462,0.1515,0.7896,26.0739,3,Lateral Tilt
163.6634,20.2421,166.7715,0.1071,166.0625,0.1614,0.7386,10.9477,3,Lateral Tilt
164.3777,22.3358,165.797,0.0827,167.4321,0.0966,0.8963,13.2923,3,Lateral Tilt
170.8004,24.8088,162.0663,0.0823,168.9173,0.1586,0.7809,18.9511,3,Lateral Tilt
138.0921,4.9064,145.1441,0.1689,144.0651,0.2237,0.7918,11.8506,1,Slouching
163.8157,17.329,160.3982,0.1117,162.6888,0.1359,0.7976,24.7673,3,Lateral Tilt
144.9257,5.9209,159.5073,0.1363,157.2268,0.1796,0.8661,12.0755,1,Slouching
161.8647,24.0375,160.9309,0.0854,169.1327,0.1789,0.8558,17.7125,3,Lateral Tilt
162.7176,2.4051,169.2632,0.0486,173.8951,0.1597,0.9891,2.1586,0,Good Posture
125.1942,5.3268,172.2752,0.2357,167.6464,0.448,0.9925,4.937,2,Forward Head
139.7688,5.0819,144.621,0.0867,147.4768,0.1776,0.8186,15.2375,1,Slouching
136.3347,2.5484,173.7457,0.2648,167.7812,0.3166,0.9375,6.5399,2,Forward Head
143.8005,0.7005,140.8027,0.1697,165.3685,0.1557,0.8854,14.2435,1,Slouching
164.7857,18.3714,160.442,0.1097,162.2194,0.1067,0.802,26.0142,3,Lateral Tilt
139.9781,4.1359,156.3483,0.0505,165.2157,0.2135,0.8517,9.6234,1,Slouching
127.3286,4.4803,167.3058,0.3208,169.4969,0.3315,0.9633,3.5354,2,Forward Head
123.0849,4.4461,168.3421,0.2142,168.2843,0.2948,0.9378,8.7786,2,Forward Head
173.8778,2.6408,173.0613,0.0855,174.4191,0.1384,0.99,0.9941,0,Good Posture
159.7715,16.9554,162.9649,0.1355,162.1701,0.1431,0.7949,12.6484,3,Lateral Tilt
149.178,4.7063,163.1795,0.1856,159.59,0.1489,0.8485,16.4636,1,Slouching
